LAD23CD,Region,Year,Inventors,Residents,Density,GDHI,GDP,GVA
E06000023,Bristol,2006,8,408428,0.92,94.3,12833,11284
E06000023,Bristol,2007,9,411901,0.92,94.5,13455,11831
E06000023,Bristol,2008,8,414822,0.92,93.9,13570,11904
E06000023,Bristol,2009,8,418990,0.93,94.1,13340,11789
E06000023,Bristol,2010,11,423044,0.91,96.6,13732,12092
E06000023,Bristol,2011,9,428074,0.92,97.5,13837,12158
E06000023,Bristol,2012,6,433043,0.91,95.1,14042,12382
E06000023,Bristol,2013,7,438386,0.93,94.6,14164,12523
E06000023,Bristol,2014,5,443791,0.97,97.1,14816,13137
E06000030,Swindon,2001,4,180129,1.05,126.7,9278,6472
E06000030,Swindon,2002,13,182110,1.02,127,9500,6815
E06000030,Swindon,2003,1,184368,0.97,126.8,10109,7199
E06000030,Swindon,2004,5,186390,0.97,126.6,10324,7354
E06000030,Swindon,2005,1,189684,0.98,124.9,10524,7532
E06000030,Swindon,2006,3,192345,0.95,124.5,10670,7774
E06000030,Swindon,2007,5,196942,0.93,119.6,11374,8383
E06000030,Swindon,2008,1,201521,0.89,121,11282,8362
E06000030,Swindon,2009,8,204371,0.92,127.5,10488,7758
E06000030,Swindon,2010,11,206939,0.86,118.6,10948,7958
E06000030,Swindon,2011,15,209709,0.86,117.2,11182,8107
E06000030,Swindon,2012,21,211918,0.83,115.5,11077,8045
E06000030,Swindon,2013,75,214028,0.86,115,11390,8482
E06000030,Swindon,2014,67,215991,0.88,114.7,11437,8545
E09000033,Westminster,2001,6,203329,4.03,192.2,43647,41896
E09000033,Westminster,2002,3,208100,3.82,180.3,43649,42096
E09000033,Westminster,2003,7,211009,3.81,182.7,44915,43405
E09000033,Westminster,2004,9,214557,3.68,197.8,45525,43911
E09000033,Westminster,2005,8,223132,3.61,212.1,49634,47837
E09000033,Westminster,2006,6,222829,3.56,226.6,50022,47951
E09000033,Westminster,2007,14,220619,3.73,243.1,54124,51554
E09000033,Westminster,2008,19,218673,3.89,235.4,54617,51869
E09000033,Westminster,2009,14,216980,3.95,240.2,51048,48646
E09000033,Westminster,2010,14,217187,4,240.1,52337,49739
E09000033,Westminster,2011,11,219582,4.16,225.6,55152,52344
E09000033,Westminster,2012,8,223737,4.26,222.9,57240,54665
E09000033,Westminster,2013,8,225306,4.39,233,57231,55411
E09000033,Westminster,2014,8,229899,4.45,234.6,60617,58375
E07000180,Vale of White Horse,2001,12,115772,0.87,124,3599,3327
E07000180,Vale of White Horse,2002,10,115565,0.94,127.4,3624,3360
E07000180,Vale of White Horse,2003,3,116134,0.95,125,3746,3476
E07000180,Vale of White Horse,2004,10,116475,0.87,125.6,3741,3451
E07000180,Vale of White Horse,2005,16,117390,0.86,126.1,3863,3557
E07000180,Vale of White Horse,2006,10,118209,0.85,132.2,3867,3553
E07000180,Vale of White Horse,2007,16,118994,0.8,128.3,3917,3605
E07000180,Vale of White Horse,2008,8,119284,0.83,126,3872,3605
E07000180,Vale of White Horse,2009,6,120026,0.86,129,3709,3484
E07000180,Vale of White Horse,2010,10,120823,0.85,125.6,3968,3689
E07000180,Vale of White Horse,2011,8,121891,0.83,125.6,4074,3754
E07000180,Vale of White Horse,2012,3,122710,0.87,128.3,4155,3838
E07000180,Vale of White Horse,2013,1,123497,0.87,129.3,4458,4110
E07000180,Vale of White Horse,2014,2,124621,0.9,130.3,4327,3952
E06000050,Cheshire West and Chester,2001,4,322154,0.81,99,10735,7702
E06000050,Cheshire West and Chester,2002,9,322657,0.81,101.4,10764,7854
E06000050,Cheshire West and Chester,2003,3,324378,0.81,106.1,10124,7956
E06000050,Cheshire West and Chester,2004,1,325496,0.81,110.2,10487,8077
E06000050,Cheshire West and Chester,2005,6,327169,0.8,109.9,11127,8339
E06000050,Cheshire West and Chester,2006,5,328358,0.79,108.4,10859,8763
E06000050,Cheshire West and Chester,2007,6,329364,0.8,105.7,11582,9118
E06000050,Cheshire West and Chester,2008,2,329353,0.79,105.6,11643,8890
E06000050,Cheshire West and Chester,2009,10,329116,0.78,104.3,11866,8906
E06000050,Cheshire West and Chester,2010,4,329553,0.79,103.5,12339,8925
E06000050,Cheshire West and Chester,2011,1,329526,0.8,100.3,11134,8975
E06000050,Cheshire West and Chester,2012,2,330224,0.81,102,11905,9078
E06000050,Cheshire West and Chester,2013,4,331069,0.84,100.6,12342,9105
E06000050,Cheshire West and Chester,2014,2,332272,0.85,99.8,12412,9104
S12000036,Edinburgh,2001,19,449020,1.08,117.6,17607,16494
S12000036,Edinburgh,2002,20,447490,1.11,120.4,18549,17393
S12000036,Edinburgh,2003,13,445290,1.13,120.4,19434,18320
S12000036,Edinburgh,2004,20,445870,1.13,120.1,19871,18744
S12000036,Edinburgh,2005,13,449480,1.12,123,20268,19094
S12000036,Edinburgh,2006,28,452060,1.08,123.5,20970,19642
S12000036,Edinburgh,2007,31,456040,1.06,123.7,21148,19795
S12000036,Edinburgh,2008,12,458520,1.05,119.7,21041,19757
S12000036,Edinburgh,2009,11,463240,1.05,120.9,20728,19698
S12000036,Edinburgh,2010,9,469940,1.01,117.4,20505,19327
S12000036,Edinburgh,2011,7,477940,1.04,119.4,20543,19207
S12000036,Edinburgh,2012,7,482630,1.07,121.9,21221,19877
S12000036,Edinburgh,2013,8,487460,1.02,120.3,21777,20342
S12000036,Edinburgh,2014,6,492610,1.01,118.1,21845,20386
E09000009,Ealing,2001,7,307276,0.63,138.4,8032,7243
E09000009,Ealing,2002,1,309242,0.62,137.2,8187,7362
E09000009,Ealing,2003,7,308108,0.64,137.8,8453,7586
E09000009,Ealing,2004,4,310073,0.63,135.5,8606,7706
E09000009,Ealing,2005,14,312774,0.63,135.4,8760,7875
E09000009,Ealing,2006,8,315329,0.62,133.7,9003,8088
E09000009,Ealing,2007,11,318671,0.63,132.5,9185,8298
E09000009,Ealing,2008,11,324022,0.58,132.2,8831,8132
E09000009,Ealing,2009,6,329966,0.56,130.9,8041,7449
E09000009,Ealing,2010,3,334073,0.55,131.2,8479,7720
E09000009,Ealing,2011,3,339314,0.63,131.3,8803,7906
E09000009,Ealing,2012,8,340332,0.64,133.6,8947,8117
E09000009,Ealing,2013,25,342108,0.65,136.5,9712,8843
E09000009,Ealing,2014,10,342997,0.69,141.3,10060,9040
E07000242,East Hertfordshire,2001,3,129145,0.77,147.3,3583,3365
E07000242,East Hertfordshire,2002,4,130029,0.85,146,3603,3372
E07000242,East Hertfordshire,2003,6,130264,0.82,145.4,3806,3552
E07000242,East Hertfordshire,2004,0,130456,0.76,145.9,3805,3535
E07000242,East Hertfordshire,2005,4,131065,0.79,144.6,4152,3874
E07000242,East Hertfordshire,2006,2,132078,0.83,143.4,4374,4082
E07000242,East Hertfordshire,2007,4,133421,0.78,144.2,4523,4225
E07000242,East Hertfordshire,2008,0,134843,0.77,142.9,4704,4434
E07000242,East Hertfordshire,2009,1,135980,0.75,150.7,4544,4302
E07000242,East Hertfordshire,2010,1,136922,0.7,144.8,4233,3949
E07000242,East Hertfordshire,2011,1,138155,0.7,144,3944,3631
E07000242,East Hertfordshire,2012,1,139405,0.71,146.1,3629,3326
E07000242,East Hertfordshire,2013,1,140932,0.77,149.6,3665,3355
E07000242,East Hertfordshire,2014,1,142781,0.82,148.5,3841,3511
E06000055,Bedford,2001,8,148113,0.75,104.9,3626,3283
E06000055,Bedford,2002,8,149589,0.75,107.8,3705,3329
E06000055,Bedford,2003,10,150684,0.81,108.4,3852,3440
E06000055,Bedford,2004,6,151308,0.81,106.6,3939,3515
E06000055,Bedford,2005,8,151747,0.87,104.6,4130,3702
E06000055,Bedford,2006,5,152346,0.79,104,4202,3706
E06000055,Bedford,2007,13,153107,0.81,104,4199,3702
E06000055,Bedford,2008,4,154164,0.79,105.4,4184,3683
E06000055,Bedford,2009,1,154808,0.78,106.1,3936,3465
E06000055,Bedford,2010,3,156535,0.77,106.6,4005,3479
E06000055,Bedford,2011,0,157840,0.79,107,4016,3490
E06000055,Bedford,2012,3,159369,0.78,104.9,4040,3428
E06000055,Bedford,2013,2,161553,0.78,105.4,4114,3492
E06000055,Bedford,2014,2,163999,0.8,106.4,4341,3676
E06000047,Durham,2001,4,493678,0.59,86.3,8230,7283
E06000047,Durham,2002,3,493538,0.57,86.6,8575,7600
E06000047,Durham,2003,1,493931,0.57,85.5,8937,7928
E06000047,Durham,2004,15,495147,0.56,85.3,9403,8343
E06000047,Durham,2005,8,497218,0.57,84.1,9454,8411
E06000047,Durham,2006,8,499348,0.59,83.1,9731,8691
E06000047,Durham,2007,13,502960,0.58,80.9,9861,8792
E06000047,Durham,2008,5,505617,0.59,81.5,9802,8718
E06000047,Durham,2009,3,507311,0.55,81.5,9611,8677
E06000047,Durham,2010,4,510628,0.53,82.7,9784,8696
E06000047,Durham,2011,25,512994,0.56,82.6,9577,8408
E06000047,Durham,2012,10,514261,0.55,82.6,9693,8528
E06000047,Durham,2013,18,515923,0.57,82.4,9593,8462
E06000047,Durham,2014,14,517573,0.58,81.5,9424,8281
E06000057,Northumberland,2001,3,307363,0.58,88.3,5169,4366
E06000057,Northumberland,2002,1,308499,0.61,87.6,5488,4661
E06000057,Northumberland,2003,3,309448,0.62,89.9,5617,4746
E06000057,Northumberland,2004,7,310140,0.62,89.2,5910,4986
E06000057,Northumberland,2005,5,310752,0.65,92.2,5988,5062
E06000057,Northumberland,2006,6,311375,0.64,92.6,6060,5154
E06000057,Northumberland,2007,2,312960,0.61,89.9,6070,5132
E06000057,Northumberland,2008,21,314057,0.64,93.2,6009,5082
E06000057,Northumberland,2009,8,314489,0.63,93.7,5761,4923
E06000057,Northumberland,2010,10,315463,0.62,93.4,5896,4997
E06000057,Northumberland,2011,17,316278,0.61,93.1,5861,4905
E06000057,Northumberland,2012,5,316489,0.6,93.1,5789,4824
E06000057,Northumberland,2013,3,316389,0.62,91.3,5861,4688
E06000057,Northumberland,2014,5,316832,0.62,89.9,5914,4775
E08000025,Birmingham,2001,7,984642,0.86,85.7,23635,21924
E08000025,Birmingham,2002,9,990384,0.86,83.7,24082,22416
E08000025,Birmingham,2003,3,996356,0.86,80.4,24694,22945
E08000025,Birmingham,2004,3,1002376,0.85,79,25468,23346
E08000025,Birmingham,2005,2,1014650,0.84,76.9,25914,23816
E08000025,Birmingham,2006,1,1020843,0.83,75.8,25965,23887
E08000025,Birmingham,2007,4,1029021,0.81,74.9,26515,24452
E08000025,Birmingham,2008,12,1038980,0.79,74.2,26097,24162
E08000025,Birmingham,2009,1,1050072,0.73,72.9,24448,22824
E08000025,Birmingham,2010,4,1061074,0.74,73.7,25131,23240
E08000025,Birmingham,2011,2,1074283,0.76,74,25775,23488
E08000025,Birmingham,2012,6,1085198,0.75,73.7,25631,23262
E08000025,Birmingham,2013,1,1092190,0.77,72.9,27044,24592
E08000025,Birmingham,2014,7,1101521,0.78,75.2,27779,25208
E09000007,Camden,2001,8,202567,1.98,124.1,16804,16464
E09000007,Camden,2002,7,203972,1.92,115.7,16777,16429
E09000007,Camden,2003,3,204254,1.86,120.6,17239,16868
E09000007,Camden,2004,6,207341,1.82,133.5,17661,17295
E09000007,Camden,2005,12,211088,1.88,151.7,18923,18555
E09000007,Camden,2006,2,211032,1.8,168.4,19047,18679
E09000007,Camden,2007,5,211520,1.9,183.3,20509,20085
E09000007,Camden,2008,1,210273,2,178.7,20529,20119
E09000007,Camden,2009,4,212924,1.99,181.5,19400,19081
E09000007,Camden,2010,8,214725,1.97,180.9,19980,19570
E09000007,Camden,2011,5,220087,2.06,168.5,21361,20819
E09000007,Camden,2012,6,224809,2.12,167.9,22597,21936
E09000007,Camden,2013,3,230486,2.15,174.5,24031,23354
E09000007,Camden,2014,8,236022,2.25,159.8,26127,25274
E07000094,Winchester,2001,7,107264,1.09,131.2,3496,3274
E07000094,Winchester,2002,1,107844,1.12,135.1,3564,3342
E07000094,Winchester,2003,1,108515,1.06,132.6,3549,3324
E07000094,Winchester,2004,9,109179,1.08,133.4,3725,3486
E07000094,Winchester,2005,1,109947,1.08,131.1,3878,3621
E07000094,Winchester,2006,4,110628,1.08,130.1,3994,3720
E07000094,Winchester,2007,5,111820,1.1,130.9,4137,3866
E07000094,Winchester,2008,2,113267,1.05,131.3,4203,3965
E07000094,Winchester,2009,2,114505,1.06,131,4044,3839
E07000094,Winchester,2010,1,115789,1.13,130.9,4285,4027
E07000094,Winchester,2011,2,116820,1.14,131.5,4464,4161
E07000094,Winchester,2012,0,118074,1.23,132.6,4595,4277
E07000094,Winchester,2013,2,119037,1.25,132.8,4700,4379
E07000094,Winchester,2014,3,120290,1.24,131.9,4971,4638
E08000015,Wirral,2001,3,315004,0.58,94.6,4942,4025
E08000015,Wirral,2002,7,315050,0.59,96.3,5228,4180
E08000015,Wirral,2003,3,315371,0.6,97.1,5791,4341
E08000015,Wirral,2004,2,315130,0.59,93.5,5804,4371
E08000015,Wirral,2005,2,314925,0.58,91.8,5589,4455
E08000015,Wirral,2006,1,315350,0.57,85.6,5948,4617
E08000015,Wirral,2007,4,315670,0.56,88,5939,4572
E08000015,Wirral,2008,10,316711,0.56,90.4,5709,4577
E08000015,Wirral,2009,6,317771,0.55,89.1,5668,4584
E08000015,Wirral,2010,10,319078,0.55,90.4,5516,4610
E08000015,Wirral,2011,6,319837,0.56,89.1,5981,4613
E08000015,Wirral,2012,6,320389,0.56,88.6,5698,4620
E08000015,Wirral,2013,4,320670,0.57,88.8,5510,4470
E08000015,Wirral,2014,4,321503,0.57,88.7,5670,4692
E07000073,Harlow,2001,2,78799,0.91,89.2,2116,1996
E07000073,Harlow,2002,3,78340,0.93,89.6,2118,1997
E07000073,Harlow,2003,1,78128,0.88,88.3,2332,2210
E07000073,Harlow,2004,1,78019,0.78,88.1,2448,2315
E07000073,Harlow,2005,3,78354,0.81,86.7,2550,2412
E07000073,Harlow,2006,3,78722,0.78,85.1,2639,2493
E07000073,Harlow,2007,1,79165,0.8,83.9,2609,2442
E07000073,Harlow,2008,1,79913,0.88,85.3,2467,2324
E07000073,Harlow,2009,0,80710,0.81,87.6,2117,1990
E07000073,Harlow,2010,1,81490,0.8,85.1,2212,2059
E07000073,Harlow,2011,1,82177,0.82,85.5,2059,1880
E07000073,Harlow,2012,0,82814,0.9,84.9,2185,2004
E07000073,Harlow,2013,0,83438,0.84,84.4,2209,2025
E07000073,Harlow,2014,0,84619,0.82,84,2206,2012
E07000216,Waverley,2001,3,115668,0.83,135.6,3279,3031
E07000216,Waverley,2002,3,115573,0.79,137.9,3311,3059
E07000216,Waverley,2003,2,116024,0.82,136,3393,3138
E07000216,Waverley,2004,1,116230,0.76,137.3,3379,3109
E07000216,Waverley,2005,3,116357,0.81,141.4,3469,3198
E07000216,Waverley,2006,2,117038,0.79,145.9,3621,3335
E07000216,Waverley,2007,2,118098,0.8,143.1,3578,3290
E07000216,Waverley,2008,2,119012,0.82,141,3519,3273
E07000216,Waverley,2009,1,120106,0.78,139,3430,3225
E07000216,Waverley,2010,3,120957,0.8,140.9,3590,3327
E07000216,Waverley,2011,2,121754,0.82,143.4,3640,3343
E07000216,Waverley,2012,0,122081,0.79,146.7,3698,3395
E07000216,Waverley,2013,0,122783,0.83,147.7,3398,3105
E07000216,Waverley,2014,0,123359,0.86,148.7,3437,3128
E06000024,North Somerset,2001,2,188840,0.71,100.7,3837,3484
E06000024,North Somerset,2002,4,189718,0.71,99.3,3873,3519
E06000024,North Somerset,2003,5,191323,0.7,101.4,3942,3559
E06000024,North Somerset,2004,2,192776,0.69,99.8,4053,3644
E06000024,North Somerset,2005,4,194745,0.69,98.8,4089,3673
E06000024,North Somerset,2006,4,197028,0.69,99.2,4140,3713
E06000024,North Somerset,2007,0,199498,0.69,96.3,4226,3770
E06000024,North Somerset,2008,0,200853,0.69,96.4,4187,3748
E06000024,North Somerset,2009,1,201711,0.71,95.7,3969,3584
E06000024,North Somerset,2010,6,202967,0.71,96.5,4068,3631
E06000024,North Somerset,2011,11,203091,0.74,97.4,4137,3652
E06000024,North Somerset,2012,13,204454,0.71,98.2,4290,3751
E06000024,North Somerset,2013,4,206182,0.71,98.6,4664,4017
E06000024,North Somerset,2014,3,208185,0.74,97.6,4792,4085
E07000222,Warwick,2001,1,126095,0.94,126.7,3840,3620
E07000222,Warwick,2002,1,128330,0.94,126.5,4005,3771
E07000222,Warwick,2003,0,130724,0.92,125.9,4327,4094
E07000222,Warwick,2004,10,132719,0.91,125.7,4420,4168
E07000222,Warwick,2005,3,134567,0.93,122.7,4461,4205
E07000222,Warwick,2006,1,135593,0.92,121.8,4583,4321
E07000222,Warwick,2007,2,136655,0.92,121.5,4524,4248
E07000222,Warwick,2008,1,137448,0.93,122.7,4517,4256
E07000222,Warwick,2009,1,138189,0.95,120.9,4352,4133
E07000222,Warwick,2010,1,138115,0.96,121,4556,4306
E07000222,Warwick,2011,4,137736,1,122.1,4797,4503
E07000222,Warwick,2012,4,138423,0.98,124.9,4726,4429
E07000222,Warwick,2013,0,138208,0.98,126.2,5260,4930
E07000222,Warwick,2014,1,138725,1.09,127.4,5583,5208
E08000019,Sheffield,2001,3,513102,0.78,93.4,10852,9944
E08000019,Sheffield,2002,1,514201,0.79,93.2,11467,10488
E08000019,Sheffield,2003,0,515339,0.81,92.6,11936,10971
E08000019,Sheffield,2004,2,519640,0.81,93.6,12333,11331
E08000019,Sheffield,2005,4,525721,0.81,91.4,12493,11465
E08000019,Sheffield,2006,1,527629,0.79,87.3,12931,11853
E08000019,Sheffield,2007,3,529905,0.8,82.9,13367,12295
E08000019,Sheffield,2008,1,534035,0.8,84.3,12702,11649
E08000019,Sheffield,2009,3,538385,0.78,85.2,12219,11302
E08000019,Sheffield,2010,8,544613,0.75,83.5,12607,11484
E08000019,Sheffield,2011,5,551756,0.75,82.2,13053,11743
E08000019,Sheffield,2012,10,557276,0.74,80.9,13173,11895
E08000019,Sheffield,2013,7,560199,0.73,80.5,13389,12027
E08000019,Sheffield,2014,7,563463,0.77,81.8,13317,11988
E09000020,Kensington and Chelsea,2001,7,162199,1.26,388.2,6434,6102
E09000020,Kensington and Chelsea,2002,0,163827,1.17,366.5,6529,6192
E09000020,Kensington and Chelsea,2003,0,165268,1.11,359.8,6672,6315
E09000020,Kensington and Chelsea,2004,2,165752,1.09,367.1,6809,6445
E09000020,Kensington and Chelsea,2005,2,168375,1.09,376.9,7126,6758
E09000020,Kensington and Chelsea,2006,2,165245,1.09,395.5,7228,6853
E09000020,Kensington and Chelsea,2007,6,162883,1.08,415,7783,7385
E09000020,Kensington and Chelsea,2008,4,162579,1.1,409.1,7868,7495
E09000020,Kensington and Chelsea,2009,1,161893,1.1,415.1,7558,7228
E09000020,Kensington and Chelsea,2010,4,160463,1.11,417.7,7925,7530
E09000020,Kensington and Chelsea,2011,3,158251,1.2,404.1,8131,7690
E09000020,Kensington and Chelsea,2012,4,156912,1.28,399.2,9285,8843
E09000020,Kensington and Chelsea,2013,3,157141,1.27,423.7,10291,9824
E09000020,Kensington and Chelsea,2014,5,157830,1.28,435.1,10731,10228
